plant_id,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
994,0,8,12,2,5,7,15,8,0,0,2,9
994,353322,239528,184277,165249,128397,137726,220978,180286,155332,188229,107202,186869
994,3091,747,2988,2037,1831,2120,1021,2069,1020,2333,62,2155
997,9403,1134,0,7713,9951,0,4753,20014,18259,792,13779,19204
997,76129,64394,69496,63321,69538,0,11850,0,1402,5190,91164,22555
997,84628,10210,0,69416,89559,0,26935,113410,103468,7124,78080,108821
1001,12,12,12,0,0,0,0,0,0,0,424,0
1001,14385,24319,0,27084,20428,57588,33853,35473,7529,27868,0,13446
1001,95,179,41,274,95,76,76,0,53,47,13,45
1001,152938,197023,184989,111619,143705,209702,175983,142964,130028,137772,142791,212554
1001,661,0,766,2,836,880,1482,1129,852,2381,1459,415
1004,40168,38230,13615,0,0,0,28599,68909,31726,44961,46575,39227
1004,0,0,0,0,0,0,0,0,0,0,0,0
1004,0,0,0,0,0,0,0,0,0,0,0,0
1004,0,0,0,0,0,0,0,0,0,0,0,0
1004,241360,501654,944553,1429377,2160105,2416780,1508829,145428,473443,647471,241300,769650
1004,10057585,10007451,3061871,0,0,0,5759489,12938994,5897279,9174928,11533587,9708993
1012,17401,6513,32703,42508,64536,65714,73876,71902,78819,84746,79627,92090
